Pixel,Wavelength,Dark,Reference,Raw data #1,Dark Subtracted #1,%TR #1,Absorbance #1,Raw data #2,Dark Subtracted #2,%TR #2,Absorbance #2,Raw data #3,Dark Subtracted #3,%TR #3,Absorbance #3,Errands Ref,Errands Fit,Irradiance_1,Irradiance_2,Irradiance_3
0,231.94,798.4,783.7,775.5,-22.9,110.0,-0.0414,0.0,-798.4,110.0,-0.0414,0.0,-798.4,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
1,232.35,798.4,783.7,775.5,-22.9,110.0,-0.0414,0.0,-798.4,110.0,-0.0414,0.0,-798.4,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
2,232.76,791.35,791.9,786.05,-5.3,0.0,6.8165,0.0,-791.35,0.0,6.8165,0.0,-791.35,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
3,233.16,753.0,679.05,731.0,-22.0,29.7498,0.5265,0.0,-753.0,110.0,-0.0414,0.0,-753.0,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
4,233.57,786.15,777.25,785.5,-0.65,7.3034,1.1365,0.0,-786.15,0.0,6.8165,0.0,-786.15,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
5,233.98,791.55,797.2,793.45,1.9,33.6283,0.4733,0.0,-791.55,0.0,6.8165,0.0,-791.55,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
6,234.38,799.5,782.6,789.8,-9.7,57.3964,0.2411,0.0,-799.5,110.0,-0.0414,0.0,-799.5,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
7,234.79,797.65,780.65,788.15,-9.5,55.8824,0.2527,0.0,-797.65,0.0,6.8165,0.0,-797.65,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
8,235.2,798.25,795.4,791.6,-6.65,110.0,-0.0414,0.0,-798.25,110.0,-0.0414,0.0,-798.25,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
9,235.6,777.85,797.0,784.5,6.65,34.7258,0.4593,0.0,-777.85,0.0,6.8165,0.0,-777.85,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
10,236.01,780.65,791.6,794.15,13.5,110.0,-0.0414,0.0,-780.65,0.0,6.8165,0.0,-780.65,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
11,236.41,785.75,801.95,777.4,-8.35,0.0,6.8165,0.0,-785.75,0.0,6.8165,0.0,-785.75,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
12,236.82,791.85,788.1,802.5,10.65,0.0,6.8165,0.0,-791.85,0.0,6.8165,0.0,-791.85,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
13,237.23,788.15,787.7,798.45,10.3,0.0,6.8165,0.0,-788.15,0.0,6.8165,0.0,-788.15,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
14,237.63,792.85,775.0,782.45,-10.4,58.2633,0.2346,0.0,-792.85,110.0,-0.0414,0.0,-792.85,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
15,238.04,779.1,790.5,775.85,-3.25,0.0,6.8165,0.0,-779.1,0.0,6.8165,0.0,-779.1,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
16,238.44,789.3,781.9,771.1,-18.2,110.0,-0.0414,0.0,-789.3,0.0,6.8165,0.0,-789.3,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
17,238.85,790.2,786.45,765.0,-25.2,110.0,-0.0414,0.0,-790.2,110.0,-0.0414,0.0,-790.2,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
18,239.25,785.8,793.95,781.4,-4.4,0.0,6.8165,0.0,-785.8,110.0,-0.0414,0.0,-785.8,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
19,239.66,785.1,787.0,782.25,-2.85,0.0,6.8165,0.0,-785.1,110.0,-0.0414,0.0,-785.1,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
20,240.07,777.35,781.4,783.15,5.8,110.0,-0.0414,0.0,-777.35,110.0,-0.0414,0.0,-777.35,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
21,240.47,782.95,786.05,774.4,-8.55,0.0,6.8165,0.0,-782.95,0.0,6.8165,0.0,-782.95,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
22,240.88,768.95,789.2,770.55,1.6,7.9012,1.1023,0.0,-768.95,0.0,6.8165,0.0,-768.95,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
23,241.28,798.35,782.8,769.25,-29.1,110.0,-0.0414,0.0,-798.35,110.0,-0.0414,0.0,-798.35,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
24,241.69,792.4,791.85,778.15,-14.25,110.0,-0.0414,0.0,-792.4,110.0,-0.0414,0.0,-792.4,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
25,242.09,782.35,770.25,769.1,-13.25,109.5041,-0.0394,0.0,-782.35,0.0,6.8165,0.0,-782.35,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
26,242.5,790.4,788.05,776.65,-13.75,110.0,-0.0414,0.0,-790.4,110.0,-0.0414,0.0,-790.4,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
27,242.9,800.2,784.55,779.7,-20.5,110.0,-0.0414,0.0,-800.2,110.0,-0.0414,0.0,-800.2,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
28,243.3,786.15,796.0,781.8,-4.35,0.0,6.8165,0.0,-786.15,0.0,6.8165,0.0,-786.15,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
29,243.71,793.6,790.2,790.9,-2.7,79.4118,0.1001,0.0,-793.6,110.0,-0.0414,0.0,-793.6,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
30,244.11,792.35,788.0,794.45,2.1,0.0,6.8165,0.0,-792.35,110.0,-0.0414,0.0,-792.35,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
31,244.52,794.7,771.55,798.2,3.5,0.0,6.8165,0.0,-794.7,110.0,-0.0414,0.0,-794.7,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
32,244.92,796.1,776.6,794.3,-1.8,9.2308,1.0348,0.0,-796.1,110.0,-0.0414,0.0,-796.1,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
33,245.33,788.1,776.7,774.4,-13.7,110.0,-0.0414,0.0,-788.1,110.0,-0.0414,0.0,-788.1,110.0,-0.0414,1.0,0.0,0.0,0.0,0.0
34,245.73,779.35,776.3,787.15,7.8,0.0,6.8165,0.0,-779.35,0.0,6.8165,0.0,-779.35,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
35,246.13,783.8,807.8,797.05,13.25,55.2083,0.258,0.0,-783.8,0.0,6.8165,0.0,-783.8,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
36,246.54,788.9,864.7,812.65,23.75,31.3325,0.504,0.0,-788.9,0.0,6.8165,0.0,-788.9,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
37,246.94,782.7,858.4,831.4,48.7,64.3329,0.1916,0.0,-782.7,0.0,6.8165,0.0,-782.7,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
38,247.35,788.7,850.85,810.5,21.8,35.0764,0.455,0.0,-788.7,0.0,6.8165,0.0,-788.7,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
39,247.75,778.1,865.95,804.75,26.65,30.3358,0.518,0.0,-778.1,0.0,6.8165,0.0,-778.1,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
40,248.15,776.6,854.8,816.85,40.25,51.4706,0.2884,0.0,-776.6,0.0,6.8165,0.0,-776.6,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
41,248.56,784.95,846.65,800.15,15.2,24.6353,0.6084,0.0,-784.95,0.0,6.8165,0.0,-784.95,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
42,248.96,790.0,862.7,797.4,7.4,10.1788,0.9923,0.0,-790.0,0.0,6.8165,0.0,-790.0,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
43,249.36,786.65,853.8,818.15,31.5,46.9099,0.3287,0.0,-786.65,0.0,6.8165,0.0,-786.65,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
44,249.77,775.8,848.15,796.9,21.1,29.1638,0.5352,0.0,-775.8,0.0,6.8165,0.0,-775.8,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
45,250.17,778.7,840.6,794.15,15.45,24.9596,0.6028,0.0,-778.7,0.0,6.8165,0.0,-778.7,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
46,250.57,789.25,873.65,811.4,22.15,26.2441,0.581,0.0,-789.25,0.0,6.8165,0.0,-789.25,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
47,250.97,790.35,856.35,812.8,22.45,34.0152,0.4683,0.0,-790.35,0.0,6.8165,0.0,-790.35,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
48,251.38,779.2,857.6,796.25,17.05,21.7474,0.6626,0.0,-779.2,0.0,6.8165,0.0,-779.2,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
49,251.78,804.65,858.3,809.55,4.9,9.1333,1.0394,0.0,-804.65,0.0,6.8165,0.0,-804.65,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
50,252.18,774.8,876.05,798.35,23.55,23.2593,0.6334,0.0,-774.8,0.0,6.8165,0.0,-774.8,0.0,6.8165,1.0,0.0,0.0,0.0,0.0
